color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
 Black and White,Stanley Kramer,73,186,176,760,Montgomery Clift,877,,Drama|War,Maximilian Schell,Judgment at Nuremberg ,44457,3847,Spencer Tracy,0,judge|law|nazi|nuremberg|war crime,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,176,English,USA,Not Rated,3000000,1961,862,8.3,1.75,0
Color,George Roy Hill,130,110,131,399,Ted Cassidy,640,102308900,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,2169,Kenneth Mars,1,bolivia|gang|outlaw|posse|train,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,English,USA,M,6000000,1969,566,8.1,2.35,0
 Black and White,John Ford,107,113,673,332,Woody Strode,756,,Drama|Western,Lee Marvin,The Man Who Shot Liberty Valance ,53741,2693,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,http://www.imdb.com/title/tt0056217/?ref_=fn_tt_tt_1,214,English,USA,Approved,3200000,1962,423,8.1,1.85,0
 Black and White,Michael Roemer,24,95,0,87,Gloria Foster,581,12438,Drama|Romance,Yaphet Kotto,Nothing But a Man ,891,835,Ivan Dixon,1,1960s|father|railroad|town|worker,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,English,USA,Not Rated,160000,1964,99,8.1,,363
Color,David Lean,89,200,767,382,Klaus Kinski,597,111722000,Drama|Romance|War,Julie Christie,Doctor Zhivago ,55816,1966,Geraldine Chaplin,2,bolshevik|poet|poetry|russia|russian revolution,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,255,English,USA,PG-13,11000000,1965,396,8,2.35,7000
Color,Robert Wise,119,174,338,195,Angela Cartwright,354,163214286,Biography|Drama|Family|Musical|Romance,Eleanor Parker,The Sound of Music ,148172,1495,Nicholas Hammond,3,austria|children|governess|love|orchestral music score,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,English,USA,G,8200000,1965,209,8,2.35,15000
Color,Sam Peckinpah,147,144,541,242,Warren Oates,682,,Action|Adventure|Western,William Holden,The Wild Bunch ,63192,2379,L.Q. Jones,1,friendship|honor|righteous rage|soldier|texas,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,English,USA,R,6244087,1969,288,8,2.35,0
 Black and White,George A. Romero,284,96,0,56,Duane Jones,125,,Drama|Horror|Mystery,Judith O'Dea,Night of the Living Dead ,87978,403,S. William Hinzman,5,cemetery|farmhouse|radiation|running out of gas|zombie,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,English,USA,Unrated,114000,1968,108,8,1.85,0
 Black and White,Richard Brooks,79,134,174,188,Robert Blake,255,,Biography|Crime|Drama|History,John Forsythe,In Cold Blood ,19026,970,Will Geer,1,homoeroticism|kansas|murder|police|robbery,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1,128,English,USA,Approved,3500000,1967,220,8,2.35,0
Color,Roman Polanski,215,136,2000,449,Mia Farrow,917,,Drama|Horror,John Cassavetes,Rosemary's Baby ,140527,2997,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,http://www.imdb.com/title/tt0063522/?ref_=fn_tt_tt_1,447,English,USA,R,2300000,1968,563,8,1.85,13000
 Black and White,Robert Rossen,100,134,31,366,Jackie Gleason,654,,Drama|Sport,George C. Scott,The Hustler ,62860,2290,Murray Hamilton,1,drink|manager|money|partner|pool hall,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,167,English,USA,Unrated,2000000,1961,491,8,2.35,0
Color,Sergio Leone,122,99,0,93,Gian Maria Volontè,16000,3500000,Action|Drama|Western,Clint Eastwood,A Fistful of Dollars ,147566,16534,Aldo Sambrell,1,balladeer|bar|drifter|mexican|revenge,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,Italian,Italy,R,200000,1964,360,8,2.35,0
 Black and White,George A. Romero,284,96,0,56,Duane Jones,125,,Drama|Horror|Mystery,Judith O'Dea,Night of the Living Dead ,87978,403,S. William Hinzman,5,cemetery|farmhouse|radiation|running out of gas|zombie,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,English,USA,Unrated,114000,1968,108,8,1.85,0
Color,George Cukor,82,170,165,244,Rex Harrison,453,72000000,Drama|Family|Musical|Romance,Jeremy Brett,My Fair Lady ,66959,1164,Theodore Bikel,1,colonel|flower girl|professor|street|wager,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,258,English,USA,Approved,17000000,1964,272,7.9,2.2,0
 Black and White,John Frankenheimer,64,133,287,28,Paul Scofield,343,,Thriller|War,Jeanne Moreau,The Train ,10119,502,Michel Simon,0,art|french|german|painting|train,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,English,France,Unrated,6700000,1964,94,7.9,1.66,0
Color,Fred Zinnemann,62,120,160,94,Susannah York,559,,Biography|Drama|History,Robert Shaw,A Man for All Seasons ,23713,1238,Paul Scofield,0,catholic|chancellor|divorce|king henry viii|thomas more,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,167,English,UK,Approved,2000000,1966,269,7.9,1.66,2000
 Black and White,John Schlesinger,88,113,154,77,Barnard Hughes,183,,Drama,Brenda Vaccaro,Midnight Cowboy ,76616,465,John McGiver,2,gay|homosexual|homosexuality|hustler|male rear nudity,http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1,334,English,USA,X,3600000,1969,89,7.9,1.85,0
Color,Richard Brooks,42,146,174,125,Jean Simmons,556,,Drama,Shirley Jones,Elmer Gantry ,7998,1444,Edward Andrews,1,1920s|evangelist|preacher|revival|traveling salesman,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,81,English,USA,Approved,3000000,1960,422,7.9,1.66,808
 Black and White,Martin Ritt,65,112,58,124,Melvyn Douglas,617,,Drama,Patricia Neal,Hud ,15277,1141,Whit Bissell,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,120,English,USA,Approved,2500000,1963,189,7.9,2.35,1000
 Black and White,Ken Annakin,53,178,19,196,Richard Beymer,726,,Action|Drama|History|War,Richard Burton,The Longest Day ,43270,1554,Eddie Albert,3,allies|d day|invasion|normandy|world war two,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,192,English,USA,G,10000000,1962,249,7.8,2.35,0
Color,Robert Stevenson,145,139,55,266,Glynis Johns,382,102300000,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,107408,2045,Elsa Lanchester,2,banker|female protagonist|live action and animation|magic|nanny,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,English,USA,Approved,6000000,1964,279,7.8,1.66,0
Color,Guy Hamilton,164,110,82,177,Gert Fröbe,387,51100000,Action|Adventure|Thriller,Honor Blackman,Goldfinger ,139432,1198,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,418,English,UK,Approved,3000000,1964,202,7.8,1.37,0
 Black and White,Stanley Kubrick,103,152,0,177,Shelley Winters,617,,Crime|Drama|Romance,James Mason,Lolita ,67822,1403,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,English,UK,Not Rated,2000000,1962,367,7.7,1.66,0
 Black and White,Stanley Kubrick,103,152,0,177,Shelley Winters,618,,Crime|Drama|Romance,James Mason,Lolita ,67825,1404,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,English,UK,Not Rated,2000000,1962,367,7.7,1.66,0
 Black and White,Richard Lester,105,87,44,704,Ringo Starr,785,515005,Comedy|Musical,Paul McCartney,A Hard Day's Night ,31429,2538,George Harrison,1,boy|concert|drummer|manager|television,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,English,UK,Approved,560000,1964,725,7.7,1.75,0
Color,Jean-Luc Godard,96,110,0,0,Anna Karina,710,,Crime|Drama|Romance,Jean-Paul Belmondo,Pierrot le Fou ,19386,967,Graziella Galvani,1,beach|money|on the run|party|smuggling,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,74,French,France,Not Rated,300000,1965,257,7.7,2.35,2000
Color,Stanley Kramer,61,197,176,760,Sid Caesar,924,46300000,Action|Adventure|Comedy|Crime,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World ",29323,4109,Spencer Tracy,0,california|desert|dying words|money|race,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,344,English,USA,Approved,9400000,1963,898,7.6,2.76,0
Color,Jerome Robbins,120,152,34,249,George Chakiris,804,43650000,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,71919,1802,Richard Beymer,0,dance|gang|new york city|puerto rican|tragedy,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,English,USA,Unrated,6000000,1961,271,7.6,2.2,0
Color,Carol Reed,56,153,82,139,Ron Moody,695,16800000,Drama|Family|Musical,Oliver Reed,Oliver! ,25303,1593,Jack Wild,1,abuse|child|orphan|orphanage|pickpocket,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,138,English,UK,G,10000000,1968,275,7.5,2.35,0
Color,Terence Young,167,115,92,177,Daniela Bianchi,559,24800000,Action|Adventure|Thriller,Robert Shaw,From Russia with Love ,89403,1456,Lois Maxwell,0,assassin|british agent|british secret service|decoder|russian,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,English,UK,Approved,2000000,1963,201,7.5,1.37,0
 Black and White,John Huston,70,120,1000,268,Kevin McCarthy,862,,Drama|Romance|Western,Montgomery Clift,The Misfits ,12981,1652,Thelma Ritter,2,cowboy|divorce|horse|sexy|wild horse,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,121,English,USA,Approved,4000000,1961,403,7.4,1.66,0
Color,John Boorman,87,92,128,480,Angie Dickinson,756,,Crime|Thriller,Lee Marvin,Point Blank ,13640,2715,Carroll O'Connor,0,criminal|gangster|money|revenge|violence,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,128,English,USA,Approved,3000000,1967,754,7.4,2.35,3000
 Black and White,Jean-Luc Godard,36,94,0,5,Macha Méril,12,,Drama,Philippe Leroy,Une Femme Mariée ,1962,27,Rita Maiden,0,acting|actor|face slap|fashion|magazine,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,10,French,France,,120000,1964,7,7.4,1.37,187
Color,Frank Capra,21,136,964,248,Glenn Ford,931,,Comedy|Drama,Ann-Margret,Pocketful of Miracles ,4313,2167,Thomas Mitchell,2,1930s|apple|dude|luck|new york city,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,40,English,USA,Approved,2900000,1961,416,7.3,2.35,612
Color,Terence Young,184,110,92,177,Jack Lord,650,16067035,Action|Adventure|Thriller,Ursula Andress,Dr. No ,116642,1421,Lois Maxwell,4,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,389,English,UK,Approved,1100000,1962,275,7.3,1.37,5000
 Black and White,Guy Hamilton,12,94,82,47,Eddie Albert,694,,Drama,Oliver Reed,The Party's Over ,340,964,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,English,UK,,,1965,196,7.3,1.37,32
Color,Melville Shavelson,8,111,5,559,Tom Bosley,6000,,Comedy|Family,Lucille Ball,"Yours, Mine and Ours ",5888,7493,Tim Matheson,0,nurse|parent|sibling|widow|widower,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,61,English,USA,Unrated,2500000,1968,584,7.2,1.85,0
Color,François Truffaut,35,123,0,21,Jean-Paul Belmondo,963,26893,Crime|Drama|Romance,Catherine Deneuve,Mississippi Mermaid ,4391,1694,Michel Bouquet,0,antibes|hotel|island|reunion|reunion island,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,French,France,R,1600000,1969,710,7.2,2.35,278
Color,Ralph Nelson,32,103,17,113,Dick Van Patten,754,,Drama|Romance|Sci-Fi,Cliff Robertson,Charly ,4998,1567,Claire Bloom,0,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,55,English,USA,PG,,1968,605,7.1,2.35,785
Color,Joseph L. Mankiewicz,72,251,311,595,Richard Burton,940,57750000,Biography|Drama|History|Romance,Martin Landau,Cleopatra ,21554,2957,Roddy McDowall,2,cleopatra|egypt|epic|queen|roman empire,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192,English,UK,Approved,31115000,1963,726,7,2.2,0
