color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Brian De Palma,147,142,0,638,F. Murray Abraham,14000,44700000,Crime|Drama,Al Pacino,Scarface ,537442,16464,Mary Elizabeth Mastrantonio,0,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851,English,USA,R,25000000,1983,670,8.3,2.35,19000
Color,Milos Forman,134,180,869,521,F. Murray Abraham,692,51600000,Biography|Drama|History|Music,Jeffrey Jones,Amadeus ,270790,3076,Tom Hulce,0,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,549,English,USA,R,18000000,1984,670,8.3,2.35,16000
 Black and White,Martin Scorsese,151,121,17000,356,Cathy Moriarty,22000,45250,Biography|Drama|Sport,Robert De Niro,Raging Bull ,235133,23008,Frank Vincent,1,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,494,English,USA,R,18000000,1980,394,8.3,1.85,0
Color,John Carpenter,297,109,0,145,Richard Masur,957,13782838,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,258078,1757,David Clennon,0,alien creature|alien life form|antarctica|isolation|paranoia,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,911,English,USA,R,15000000,1982,163,8.2,2.35,23000
Color,John McTiernan,233,131,323,541,Bruce Willis,25000,81350242,Action|Thriller,Alan Rickman,Die Hard ,592582,40585,Reginald VelJohnson,0,christmas|christmas eve|christmas party|held at gunpoint|hostage,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,722,English,USA,R,28000000,1988,13000,8.2,2.35,25000
Color,Ridley Scott,302,117,0,521,Sean Young,11000,27000000,Sci-Fi|Thriller,Harrison Ford,Blade Runner ,461609,13877,M. Emmet Walsh,2,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,1168,English,USA,R,28000000,1982,759,8.2,2.35,34000
 Black and White,David Lynch,117,124,0,452,Anne Bancroft,12000,,Biography|Drama,Anthony Hopkins,The Elephant Man ,161972,13864,Dexter Fletcher,1,curiosity|exploitation|freak|hospital|physical deformity,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,English,USA,PG,5000000,1980,754,8.2,2.35,9000
 Black and White,Richard Attenborough,95,240,0,249,Amrish Puri,545,,Biography|Drama|History,Candice Bergen,Gandhi ,171726,1943,John Gielgud,0,british|india|indian|muslim|pakistan,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,256,English,UK,PG,22000000,1982,429,8.1,2.35,12000
Color,Rob Reiner,185,98,0,594,Carol Kane,18000,30857814,Adventure|Family|Fantasy|Romance,Robin Wright,The Princess Bride ,294163,20060,André the Giant,0,fairy tale|giant|pirate|princess|true love,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,718,English,USA,PG,16000000,1987,636,8.1,1.85,33000
Color,Rob Reiner,99,89,0,107,Frances Lee McCain,217,52287414,Adventure|Drama,Marshall Bell,Stand by Me ,271794,644,Casey Siemaszko,2,friendship|summertime|treehouse|walking on train tracks|woods,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,584,English,USA,R,8000000,1986,107,8.1,1.85,24000
Color,Katsuhiro Ôtomo,150,124,78,4,Takeshi Kusao,6,439162,Action|Animation|Sci-Fi,Mitsuo Iwata,Akira ,106160,28,Tesshô Genda,0,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,Japanese,Japan,R,1100000000,1988,5,8.1,1.85,0
Color,James Cameron,204,107,0,255,Brian Thompson,2000,38400000,Action|Sci-Fi,Michael Biehn,The Terminator ,600266,3582,Paul Winfield,1,cyborg|future war|robot|shootout in a police station|urban setting,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,692,English,UK,R,6500000,1984,663,8.1,1.85,13000
Color,Oliver Stone,120,120,0,576,Tom Berenger,40000,137963328,Drama|War,Johnny Depp,Platoon ,291603,42028,Kevin Dillon,0,1960s|famous score|hero|vietnam|vietnam war,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,English,UK,R,6000000,1986,854,8.1,1.85,9000
Color,Bob Clark,109,94,84,378,Darren McGavin,662,,Comedy|Family,Zack Ward,A Christmas Story ,104908,2076,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,458,English,USA,PG,4000000,1983,577,8.1,1.85,18000
Color,Barry Levinson,100,133,272,628,Valeria Golino,10000,172825435,Drama,Tom Cruise,Rain Man ,383784,12285,Beth Grant,3,buick|convertible|last will and testament|savant|travel,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,331,English,USA,R,25000000,1988,898,8,1.85,12000
Color,Peter Weir,96,128,608,1000,Josh Charles,49000,95860116,Comedy|Drama,Robin Williams,Dead Poets Society ,277451,51609,Kurtwood Smith,0,education|english teacher|poet|professor|student,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,491,English,USA,PG,16400000,1989,1000,8,1.85,23000
Color,Terry Gilliam,230,142,0,1000,Bob Hoskins,22000,9929000,Drama|Sci-Fi,Robert De Niro,Brazil ,152306,29475,Jim Broadbent,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,513,English,UK,R,15000000,1985,5000,8,1.85,16000
Color,Edward Zwick,60,122,380,2000,Morgan Freeman,18000,26830000,Drama|History|War,Denzel Washington,Glory ,101888,32930,Matthew Broderick,3,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,English,USA,R,18000000,1989,11000,7.9,1.85,0
Color,John Landis,125,148,644,326,Aretha Franklin,1000,54200000,Action|Comedy|Crime|Music,John Belushi,The Blues Brothers ,142448,2566,Ray Charles,1,band|catholic|money|parolee|prison,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,319,English,USA,R,27000000,1980,809,7.9,1.85,14000
Color,Philip Kaufman,80,193,133,820,Scott Glenn,2000,21500000,Adventure|Drama|History,Dennis Quaid,The Right Stuff ,45271,6341,Sam Shepard,0,astronaut|sound barrier|space program|u.s. air force|u.s. space program,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170,English,USA,PG,27000000,1983,826,7.9,1.85,0
Color,Brian De Palma,123,119,0,188,Billy Drago,22000,76270454,Crime|Drama|Thriller,Robert De Niro,The Untouchables ,219008,22767,Charles Martin Smith,1,corrupt judge|tax evasion|tough cop|white suit|year 1930,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,418,English,USA,R,25000000,1987,371,7.9,2.35,0
Color,Edward Zwick,60,122,380,2000,Morgan Freeman,18000,26830000,Drama|History|War,Denzel Washington,Glory ,101889,32930,Matthew Broderick,3,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,English,USA,R,18000000,1989,11000,7.9,1.85,0
Color,Steven Spielberg,215,120,14000,548,Dee Wallace,861,434949459,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial ,281842,2811,Peter Coyote,0,bicyclist|boy|doll|star wars reference|voice impersonation,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,515,English,USA,PG,10500000,1982,725,7.9,1.85,34000
Color,Spike Lee,103,120,0,388,John Savage,782,27545445,Drama,Ruby Dee,Do the Right Thing ,59524,2892,Danny Aiello,2,black militant|frustration|pizza|pizza parlor|pizzeria,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,USA,R,6500000,1989,652,7.9,1.85,0
Color,Robert Zemeckis,125,108,0,690,Jeffrey Weissman,1000,118500000,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future Part II ,340085,3660,Thomas F. Wilson,0,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,327,English,USA,PG,40000000,1989,869,7.8,1.85,12000
Color,Bernardo Bertolucci,75,219,973,400,Joan Chen,1000,43984230,Biography|Drama|History,Cary-Hiroyuki Tagawa,The Last Emperor ,70274,2451,Victor Wong,0,abdication|china|emperor|forbidden city|republic,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,133,English,China,PG-13,23000000,1987,643,7.8,2.35,0
Color,John McTiernan,217,107,323,794,Bill Duke,1000,59735548,Action|Horror|Sci-Fi,Shane Black,Predator ,290949,4223,Carl Weathers,1,box office hit|commando|death of friend|jungle|severed arm,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,629,English,USA,R,15000000,1987,1000,7.8,1.85,13000
Color,Sidney Lumet,79,129,0,359,James Mason,844,54000000,Drama,Charlotte Rampling,The Verdict ,26310,2330,Jack Warden,0,archdiocese|court|hospital|lawyer|malpractice,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,154,English,USA,R,16000000,1982,617,7.8,1.85,0
Color,Steven Spielberg,70,154,14000,271,Rae Dawn Chong,852,94175854,Drama,Oprah Winfrey,The Color Purple ,60988,2592,Dana Ivey,0,book strap|girl|racial discrimination|racial tension|stereotype,http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1,199,English,USA,PG-13,15000000,1985,581,7.8,1.85,6000
Color,Robert Redford,62,124,0,535,Elizabeth McGovern,2000,54800000,Drama,Adam Baldwin,Ordinary People ,35130,5122,Judd Hirsch,3,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,283,English,USA,R,6000000,1980,553,7.8,1.85,0
Color,Jim Abrahams,134,88,104,318,Lloyd Bridges,628,83400000,Comedy,Peter Graves,Airplane! ,160281,2726,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,427,English,USA,PG,3500000,1980,575,7.8,1.85,16000
Color,Sam Raimi,252,37,0,199,Dan Hicks,634,5923044,Comedy|Fantasy|Horror|Thriller,Ted Raimi,Evil Dead II ,113451,1347,Kassie Wesley DePaiva,0,cabin|cabin in the woods|demon|evil dead|woods,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,537,English,USA,X,3600000,1987,328,7.8,1.85,0
Color,James Ivory,29,140,133,239,Denholm Elliott,443,3130592,Drama|Romance,Rupert Graves,Maurice ,10755,1269,Simon Callow,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,69,English,UK,R,2600000,1987,249,7.8,1.66,963
Color,Ted Kotcheff,145,93,270,535,Brian Dennehy,13000,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172489,15192,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,English,USA,R,14000000,1982,954,7.7,2.35,0
Color,Stephen Frears,51,119,350,418,Peter Capaldi,18000,34700000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,52846,35501,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,English,USA,R,14000000,1988,17000,7.7,1.85,0
Color,Ted Kotcheff,145,93,270,535,Brian Dennehy,13000,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172493,15192,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,English,USA,R,14000000,1982,954,7.7,2.35,0
Color,Stephen Frears,51,119,350,418,Peter Capaldi,18000,34700000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,52846,35501,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,English,USA,R,14000000,1988,17000,7.7,1.85,0
Color,Nicholas Meyer,148,116,120,664,Kirstie Alley,12000,78900000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan ,91414,16539,Nichelle Nichols,2,jamming communications|planet|space station|taunt|trap,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,359,English,USA,PG,11000000,1982,980,7.7,2.35,0
Color,Kenneth Branagh,46,137,0,130,Derek Jacobi,591,10161099,Action|Biography|Drama|History|Romance|War,Brian Blessed,Henry V ,23441,1341,Danny Webb,1,battle|battle of agincourt|king|shakespeare play|sword and shield,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,108,English,UK,PG-13,9000000,1989,520,7.7,1.85,0
Color,James Cameron,82,171,0,638,Todd Graff,2000,54222000,Adventure|Drama|Sci-Fi|Thriller,Michael Biehn,The Abyss ,131217,4074,Mary Elizabeth Mastrantonio,0,alien|estranged couple|ocean|submarine|underwater,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,380,English,USA,PG-13,69500000,1989,650,7.6,2.35,0
